id,name,features
77920,R******* P*** n*** A****** K********* S******* 3,3|Semarang|Hotel|Semarang
81312,d A**** A**** V*****,5|Bali|Hotel|Bali
73086,H**** 88 K*****,2|Jakarta|Hotel|Kedoya - West Jakarta
80889,L***** V****,4|Bali|Hotel|Canggu
69924,H**** M****** B***,0|Kalimantan|Hotel|Kalimantan
73637,Y***** B** T**** A**** (******** S***** I** W**** H******,3|Jakarta|Hotel|Wahid Hasyim - Central Jakarta
83315,D**** H*******,3|Bali|Hotel|Denpasar
81707,T** H**** B*** S*******,4|Bali|Resort|Seminyak
71591,R******* S****** n*** U********** I**** R***,2|Pekanbaru|Hotel|Bukit Raya
75943,O** 9**** A** I** P******* T** S***** M****,0|Bandung|Hotel|Buah Batu
84078,L*** d A*** R***** a** S**,4|Lombok|Hotel|Lombok Utara
82628,A*** D******* U**** H** C*********** 63 B***,0|Bali|Hotel|Denpasar
70509,A***** B******,1|Bontang|Hotel|Bontang
74155,H***** H**** & C********* C******* C*** M*** B****,4|Bogor|Hotel|Bogor
75498,G**** A***** H**** P********* S*** R***** H****,4|Bandung|Hotel|Ciumbuleuit
75392,G**** H*** H****,3|Bandung|Hotel|Lembang
80411,V**** S***** B*********,3|Banyuwangi|Hotel|Klatak
80307,T**** H**** & V**** B*********,4|Banyuwangi|Hotel|Licin
82824,R******* @ K**** D**** S********,2|Bali|Hotel|Denpasar
77534,A*** U********* P******* K********** 87 Y*********,0|Yogyakarta|Hotel|Yogyakarta
85019,M****** M******* N*** P********,4|Makassar|Hotel|Rappocini
84793,R**** V******* S*******,4|Samarinda|Hotel|Samarinda City Center
78988,R******* S****** @ M**** G**** H****,2|Malang|Hotel|Malang city
69989,G**** K****** H****,0|Kerinci|Hotel|Kerinci
78625,S*** ON 2*** Tf H*******,2|Madiun|Hotel|Kartoharjo
72745,M P******* L**** K*******,3|Tangerang|Hotel|Karawaci
71401,O** 4*** Z**** G**** H**** S******,2|Padang|Hotel|Painan
79512,O** 9**** R**** O** S******,2|Surabaya|Bed & breakfast|Surabaya
71833,A***** H****,4|Batam|Hotel|Batam Center
85436,F****** H**** S****** K******,2|Kendari|Hotel|Mandonga
71188,O** 1*** H**** K******,2|North Tapanuli|Bed & breakfast|North Tapanuli
83254,P***** G**** H**** a** R*********,3|Bali|Guest House|Denpasar
69687,K****** H**** L*****,1|Banda Aceh|Hotel|Banda Aceh
73006,O** 1*** P******** R********,2|Jakarta|Hotel|West Jakarta
77929,R******* n*** P***** G*** A*********,2|Yogyakarta|Bed & breakfast|Yogyakarta
78895,H***** P*******,2|Batu|Hotel|Batu
72943,S*********** A****** J******,3|Tangerang|Hotel|Cengkareng
78539,O** 3*** P********* C**** R***,2|Magetan|Hotel|Magetan
83240,O** 3*** P***** W***** D*****,2|Bali|Hotel|Bali
83350,C*** G****** U***,2|Bali|Hotel|Ubud
75416,V***** R********,2|Bandung|Hotel|Hegarmanah
81326,V**** A*****,0|Bali|Hotel|Denpasar
75325,H****** G**** F***** B****** (******** T** G**** F***** R***** B*******,4|Bandung|Resort|Cihideung
84809,S**** K*** H*******,2|Tarakan|Hotel|Tarakan
83169,W***** B*** B*******,3|Bali|Hotel|Denpasar
74503,O** 1*** A** R********,2|Jakarta|Hotel|Ancol - North Jakarta
76869,V**** A*********,3|Yogyakarta|Hotel|Yogyakarta
71261,R******* S****** n*** M********** I************ A******,1|Padang|Hotel|Batang Anai
80725,U****** C*******,3|Bali|Hotel|Uluwatu
78124,O** 3*** H**** M******,2|Salatiga|Bed & breakfast|Salatiga
72103,S******* P*** E*** R*****,1|Bintan|Hotel|Lagoi
80871,O** 9**** S*** G**** H****,2|Bali|Bed & breakfast|Canggu
72502,H**** of K**** S******,2|Bandar Lampung|Hotel|Lampung
82030,B*** S*****,3|Bali|Hotel|Kuta
74554,H**** C****** C******,4|Bekasi|Hotel|Cibubur
75353,O** 2** A***** H****,2|Bandung|Hotel|Pasteur
83713,A******* G**** H****,2|Bali|Hotel|Kuta
83902,B******** B********,3|Bali|Hotel|Denpasar
70464,H**** D****** T******,0|Tarakan|Hotel|Tarakan
83316,T**** A****,3|Bali|Hotel|Sanur
79709,f******** M** T******** S*******,3|Surabaya|Hotel|Genteng
74644,A*** E** S****** K********* KH N*** A** B*****,4|Bekasi|Hotel|Bekasi Barat
72007,B******* H**** 01,3|Batam|Hotel|Batam Center
78931,O** 9** G**** I****,2|Batu|Hotel|Batu
80875,A****** S****,4|Bali|Hostel/Backpacker accommodation|Canggu
81998,M S**** S*******,3|Bali|Hotel|Seminyak
75009,M****** R******** R*********,2|Karawang|Hotel|Karawang
78059,O** 5** H**** W*****,2|Yogyakarta|Hotel|Sleman
76621,T*** A**** S**** K******,4|Kebumen|Hotel|Kebumen
80472,R******* n*** P**** T******* S***** B**********,2|Banjarmasin|Hotel|Banjarmasin tengah
83749,D**** L******** C**** S***** H*******,0|Bali|Hotel|Denpasar
80169,O***** H****,3|Pamekasan|Hotel|Pamekasan
72191,A******* P********,4|Palembang|Hotel|Ilir Barat
82734,T** S***** R***** B***,5|Bali|Resort|Nusa Dua
72815,O** 3*** A**** R**** A********,2|Tangerang|Hotel|Bandara
76773,S*** ON 2*** K***** R********,2|Semarang|Hotel|Semarang
73943,P****** V***** R******** By Z***,3|Jakarta|Hotel|pasar minggu
83946,T**** T******* R***** a** S** T*******,3|Bali|Hotel|Amed
78964,R******* S****** n*** P******* F** P*** B*** 2,2|Batu|Hotel|Batu
73566,I*** S***** J****** T**** A****,3|Jakarta|Hotel|Central Jakarta
75779,R*** H**** B******,3|Bandung|Hotel|Riau Street
80827,B******* B**** V****,4|Bali|Villa|Denpasar
85696,H**** T**** A******,1|Flores|Hotel|Atambua
79893,O** 2*** Z***** H**** S******,2|Sidoarjo|Hotel|Sidoarjo
74044,D*** D**** A******** M******* R******** 2 By Z***,1|Depok|Hotel|beji
75559,A****** S******* H****,3|Bandung|Hotel|Bandung Wetan
72988,S***** H**** J****** C********* (******* S***** P*** J*******,4|Jakarta|Hotel|Cengkareng - West Jakarta
80628,B*** L***** B**** C*******,4|Bali|Hotel|Bali
73647,H**** Ro & Vi B*******,3|Jakarta|Hotel|Tamansari - West Jakarta
80473,O** 3*** E**** H****,2|Banjarmasin|Hotel|Banjarbaru
74216,C*** L***** S******,2|Jakarta|Hotel|Senayan - South Jakarta
71286,d D**** P*****,1|Padang|Hotel|Padang Selatan
78409,A*** S****** B****** N***** 4 S***,0|Solo City|Hotel|Solo City
74601,V**** B**** Z***** P*****,2|Bogor|Hotel|Cisarua
75544,eL H**** B******,4|Bandung|Hotel|Merdeka
73724,B*** I** H**** J******,0|Jakarta|Hotel|Jakarta
84293,L***** B**** V****,3|Lombok|Resort|senggigi
76284,R******* n*** K******* S****** C****** 2,2|Cirebon|Hotel|Cirebon
72534,A** G********* R********* L******,1|Bandar Lampung|Bed & breakfast|Bandar Jaya
73617,T****** R*********,3|Jakarta|Hotel|Kebayoran Baru - South Jakarta
79145,De M***** S**** H******* S******,2|Malang|Hotel|Blimbing
74892,R******* n*** C******* L**** C*******,2|Cikarang|Hotel|Cikarang Barat
73699,I*** At C****** T******,1|Jakarta|Hotel|Tanah Abang - Central Jakarta
73152,I******* C********,2|Sukabumi|Hotel|Sukabumi City Center
71785,H**** G**** H**** S****** n*** H**** W**** J*******,1|Jambi|Hotel|Jambi
84097,S**** R***** G*** T********,4|Lombok|Hotel|Gili Trawangan
77152,H***** M******** Y********* by A****,4|Yogyakarta|Hotel|Jetis
77061,T** M****** Y*********,4|Yogyakarta|Hotel|Yogyakarta
82090,B******* V*****,4|Bali|Villa|Legian
72300,T** A*** H****,5|Palembang|Hotel|Ilir Timur II
84777,G**** M******,3|Bontang|Hotel|Guntung
73659,A** H**** J******,3|Jakarta|Hotel|Kebon Kacang - Central Jakarta
75594,P**** B******,3|Bandung|Hotel|Dago
85385,S** F***** H**** R*****,2|Flores|Hotel|Ruteng
81936,HK V**** B***,4|Bali|Villa|Denpasar
81652,G**** I**** K*** R*****,4|Bali|Hotel|Kuta
80847,F******* D***** P*** V****,4|Bali|Hotel|Uluwatu
84179,G*** B***,2|Lombok|Guest House|Gili Trawangan
72816,N**** I** B****** A********,2|Tangerang|Hotel|Neglasari
74765,V**** L**** E** S****** R*********,1|Cianjur|Hotel|Cianjur
75979,O** 9** A*** I** H****,2|Belitung|Hotel|Tanjung Pandan
78994,V**** C***** A*** By Z***,3|Mojokerto|Hotel|Mojokerto
82990,P******* S** V*****,4|Bali|Hotel|Denpasar
73648,U******** H**** C*** K*** M***** B****,2|Jakarta|Hotel|Mangga Besar - West Jakarta
73483,A*** G***** C***** J******,0|Jakarta|Hotel|Jakarta
73012,N** P*** I**** by A****,3|Jakarta|Hotel|Kembangan
71149,T***** H**** K********,3|Medan|Hotel|Kualanamu
79436,O** 1*** A**** H******* S******,2|Sidoarjo|Hotel|Sidoarjo
71072,O** 8** T****** R********,1|Medan|Hotel|Medan Tembung
71869,R******* @ B**** B****,2|Batam|Hotel|Lubuk Baja
75888,D*** H***** R***** a** V****,2|Bandung|Villa|Dago
76627,U******** V**** K********* K****** by R*******,3|Kebumen|Hotel|Kebumen
78187,S********* H**** J*****,2|Jepara|Hotel|Jepara
78594,O** 1*** H** A**** R********,2|Madiun|Hotel|Manguharjo
81071,A**** Le N***** V**** by W******* H**********,4|Bali|Villa|badung
82741,V**** K*******,0|Bali|Hotel|Denpasar
77613,G**** H**** B F*** S****** Y**** R*********,2|Yogyakarta|Hotel|Depok
72700,G**** I*** S****** B****,4|Sukabumi|Hotel|Pelabuhan Ratu
71135,S****** C******* R*****,4|Samosir|Hotel|Samosir
81723,Z** R**** K*** K*** A**** 2,0|Bali|Hotel|Kuta
77090,A***** H**** M********,2|Yogyakarta|Hotel|Malioboro Street
77806,R******* n*** P***** S******,2|Semarang|Guest House|Semarang
76304,R******* P*** n*** A*** A*** K******* C******,3|Cirebon|Hotel|Kejaksan
80891,V**** T** U*** P**** P*****,3|Padang|Hotel|Padang
80483,S***** B** a** B******** H****,0|Banjarmasin|Hotel|Banjarmasin tengah
78091,A*** B****** A********** K****** S***** Y*********,0|Yogyakarta|Hotel|Yogyakarta
71371,S***** H****,2|Bukittinggi|Hotel|Guguk Panjang
73180,R******* P*** @ G***** J******,3|Jakarta|Hotel|Grogol/Roxy - West Jakarta
81712,S******* P**** G**** H****,2|Bali|Hotel|Seminyak
73300,B*** W****** S******,3|Jakarta|Hotel|Kemayoran - Central Jakarta
84624,O** 1*** G***** G**** H****,2|Balikpapan|Hotel|Balikpapan
