id,name,features
74404,V*** P******* G** By Z***,3|Jakarta|Hotel|Cempaka Putih/Sunter - Central Jakarta
76934,d O*** Y*********,4|Yogyakarta|Hotel|Bantul
82074,B**** a** J** H*****,2|Bali|Hostel/Backpacker accommodation|Denpasar
80833,E***** A**** R***** C*****,4|Bali|Hotel|Seminyak
75473,R******* A******** @ J****** C*********,3|Bandung|Hotel|Cihampelas
77768,R******* n*** M***** G***** M*****,2|Yogyakarta|Hotel|Sleman
76249,S****** C******,3|Cirebon|Hotel|Siliwangi
81293,J***** R**** V*****,5|Bali|Villa|Seminyak
81149,A*** S******* P********* R*** 35 B***,0|Bali|Hotel|Seminyak
85198,H**** G*** S*****,1|Makassar|Hotel|Wajo
85573,J****** C****** B******,3|Manado|Hotel|kota manado
73764,B******* R******** J******,3|Jakarta|Hotel|Jakarta
73730,O** 3*** P********* M******,2|Jakarta|Hotel|Mangga Besar - West Jakarta
71834,Q**** I** B**** R*********,2|Batam|Bed & breakfast|Batam Center
82356,K***** H******* B*** By Z***,3|Bali|Guest House|Kuta
80054,A**** T***** H******* at D*** W***** B****,2|Pasuruan|Hotel|Tosari
80906,A***** V***** B***,4|Bali|Villa|Denpasar
69987,H**** G**** A*****,3|Kepi|Hotel|Obaa
85736,R******* S****** n*** N**** L***,2|Ternate|Guest House|Ternate
79129,S**** G***** B******* G**** H****,3|Malang|Hotel|Malang
77532,U******** S***** P**** C*********** by R*******,3|Yogyakarta|Hotel|Sleman
78094,Le B*******,2|Salatiga|Hotel|Salatiga
72280,O** 2*** H**** T********,2|Palembang|Hotel|Palembang
82052,V**** A*****,3|Bali|Villa|Denpasar
69913,B**** H*****,0|Kalimantan|Hotel|Kalimantan
83708,M***** H**** B******,2|Kalimantan|Hotel|Kalimantan Selatan
82584,T** L***** H**** N*** D**,4|Bali|Hotel|Nusa Dua
70741,R******* S****** n*** T*** B***** M****,2|Medan|Hotel|Medan
73357,R******* n*** K**** R*** B****,2|Bogor|Guest House|bogor tengah
76550,B***** H**** - P********,3|Pontianak|Hotel|Pontianak
74287,B********** S***** S***** & C*********,3|Bogor|Hotel|Sentul City
75798,M****** N*** B****** S******** (******** N*** H**** B*******,4|Bandung|Hotel|Bandung
76023,H**** E***** P*** by E*****,0|Bandung|Hotel|Jatinangor
77318,A*** M********* T**** S**** 91 Y*********,2|Yogyakarta|Hotel|Mergangsan
76544,M***** R***** H**** (******** A***** R***** P**********,3|Purwokerto|Hotel|Sokaraja
84659,H****** U***** B****** B*********,4|Balikpapan|Hotel|Balikpapan Selatan
81267,T** H*** U******,2|Bali|Guest House|Uluwatu
75507,K****** B******,4|Bandung|Hotel|Braga
74138,O** F******* 2** A******* K********,2|Jakarta|Hotel|Kemayoran - Central Jakarta
70655,B****** N** J*** By Z***,4|Karo|Hotel|Merdeka
