id,name,features
69967,H**** T*** I****,0|Kalimantan|Hotel|Kalimantan
69968,P********* M******,0|Kalimantan|Hotel|Kalimantan
69969,Q H**** S*******,0|Kalimantan|Hotel|Kalimantan
69970,W**** P****** H****,2|Kalimantan|Hotel|Kalimantan
69971,L**** L****** H****,0|Kalimantan|Hotel|Kalimantan Selatan
69972,L**** H**** N******,2|Kalimantan|Hotel|Kalimantan
69973,P********* H****** K**** K**********,0|Kalimantan|Hotel|Kalimantan
69974,H**** G**** B***** P*********,0|Kalimantan|Hotel|Kalimantan
69975,H**** K**** P***** S*******,0|Kalimantan|Hotel|Kalimantan
69976,H***** H**** S******,0|Kapuas|Hotel|Kapuas
69977,T** G***** P*****,4|Kapuas|Hotel|Kapuas
69978,H**** P******,0|Kebumen|Hotel|Kebumen
69979,H**** V****** 2 K*********,0|Kefamenanu|Hotel|Kefamenanu
69980,C****** I** K*********,2|Kefamenanu|Hotel|Kefamenanu
69981,A****** H**** & R******,0|Kendal|Hotel|Kendal
69982,H**** G***** A***,0|Kendal|Hotel|Kendal
69983,D*** H**** P*****,0|Kendari|Hotel|Kendari
69984,A**** H**** K******,0|Kendari|Hotel|Kendari
69985,A***** S****** K******,0|Kendari|Hotel|Kendari
69986,H**** P***** I** K******,0|Kendari|Hotel|Kendari
69987,H**** G**** A*****,3|Kepi|Hotel|Obaa
69988,R***** S***** H****,1|Kepulauan Selayar|Hotel|Benteng
69989,G**** K****** H****,0|Kerinci|Hotel|Kerinci
69990,G**** H****,0|Kerinci|Hotel|Kerinci
69991,E****** H****,4|Kolaka|Hotel|Kolaka
69992,P*********** I** H****,0|Kolaka|Hotel|Kolaka
69993,H**** E****** K*****,0|Kolaka|Hotel|Kolaka
69994,G**** H**** F***** S**,0|Kolaka|Hotel|Kolaka
69995,N****** H****,4|Konawe|Hotel|Unaaha
69996,H**** D*** P*****,0|Konawe|Hotel|Andoolo
69997,P**** J*** H**** K*********,0|Kotamobagu|Hotel|Kotamobagu
69998,S****** R*****,0|Kotamobagu|Hotel|Kotamobagu
69999,H**** T******* C******* K*********,0|Kotamobagu|Hotel|Kotamobagu
70000,H**** L*****,0|Kupang|Hotel|Kupang city
