id,name,features
71324,A*** P***** B**** B**** K*******,0|Padang|Hotel|Padang
71347,R******* N*** J******* S*** N****** P*****,2|Padang|Hotel|Padang Barat
71371,S***** H****,2|Bukittinggi|Hotel|Guguk Panjang
71391,N*****,1|Bukittinggi|Hotel|Bukittinggi
71397,O** 3*** T*** H**** S******,2|Padang|Hotel|Painan
71398,M**** W******** a** R*****,3|Padang|Hotel|Sepuluh Koto
71399,H******* S****** S****** R*********,1|Bukittinggi|Hotel|Guguk Panjang
71412,J***** G*********,2|Bukittinggi|Guest House|Mandiangin Koto Selayan
71429,A** A**** C******,3|Bukittinggi|Hotel|Bukittinggi
71431,H**** R******* B*** P***** P******,2|Padang|Hotel|Padang Barat
71436,O** 1*** H******* R**** P***,1|Painan|Hostel/Backpacker accommodation|Painan
71439,O** 9**** H**** F******* S******,2|Payakumbuh|Bed & breakfast|Payakumbuh
71458,O** 3*** P********* C******,2|Kerinci|Bed & breakfast|Kerinci
71481,H**** P****,2|Pekanbaru|Hotel|Pekanbaru
71483,D E W***** H****,0|Pekanbaru|Hotel|Pekanbaru
71492,W***** P**** By Z***,3|Pekanbaru|Hotel|Pekanbaru
71496,O** 1*** D** H*******,2|Pekanbaru|Hostel/Backpacker accommodation|Marpoyan Damai
71503,S*** ON 2*** H**** T*****,2|Pekanbaru|Hotel|Pekanbaru
71516,K***** R******** S****** By Z***,2|Pekanbaru|Bed & breakfast|Pekanbaru
71519,W****** H**** P********,3|Pekanbaru|Hotel|Senapelan
71521,A*** T** C****** A**** Y*** 43 P********,0|Pekanbaru|Hotel|Pekanbaru
71522,M***** H**** P********,3|Pekanbaru|Hotel|Pekanbaru
71541,C******* H**** D****,3|Dumai|Hotel|Dumai Timur
71551,S*** ON 2*** A**** N** P*********,1|Dumai|Hostel/Backpacker accommodation|Dumai Timur
71553,D*** G****,3|Pekanbaru|Hotel|Pekanbaru
71589,T** B******* L***** V***** a** R****,3|Pekanbaru|Hotel|Pekanbaru
71590,O** 3*** U**** S*** H*******,2|Pekanbaru|Hotel|Pekanbaru
71619,R******* @ L*****,2|Bengkulu|Hotel|Curup
71636,O** 7** G**** M****** G**** H****,2|Bengkulu|Guest House|Sungai Serut
71653,G** P******** B*******,3|Bengkulu|Hotel|Ratu Agung
71655,T****** K*****,0|Bengkulu|Hotel|Bengkulu
71656,O** 9**** K***** S****** H****,2|Bengkulu|Bed & breakfast|Curup
71664,R******* n*** P***** P****** B*******,2|Bengkulu|Guest House|Gading Cempaka
71695,H**** D******,3|Lubuk Linggau|Hotel|Lubuklinggau Timur
71709,W**** L*** S****** P**** A*** R*********,1|Bengkulu|Hotel|Curup
71717,H**** S**** 8**,3|Tanjung Balai Karimun|Hotel|Tanjung Balai Karimun City Center
71728,H**** C*******,2|Lahat|Hotel|Lahat City Center
71732,R******* S****** N*** K***** P**** T********** J****,1|Jambi|Hotel|Jambi
71743,M******* R******** S****** R*********,2|Jambi|Hotel|Telanaipura
71747,R******* @ J**** S********* 2 J****,2|Jambi|Hotel|Jambi
71770,O******* W******* H**** & S**,3|Jambi|Hotel|Jambi
71817,K****** B********,1|Bandar Lampung|Hotel|Bandar Lampung
71832,R******* P*** @ K****** A** B*** A**,3|Batam|Hotel|Segulung
